Date, meiv2
1979-01-01,    0.470
1979-02-01,    0.290
1979-03-01,   -0.050
1979-04-01,    0.210
1979-05-01,    0.270
1979-06-01,   -0.110
1979-07-01,   -0.110
1979-08-01,    0.470
1979-09-01,    0.380
1979-10-01,    0.230
1979-11-01,    0.530
1979-12-01,    0.630
1980-01-01,    0.330
1980-02-01,    0.200
1980-03-01,    0.390
1980-04-01,    0.510
1980-05-01,    0.450
1980-06-01,    0.550
1980-07-01,    0.470
1980-08-01,    0.030
1980-09-01,    0.120
1980-10-01,    0.020
1980-11-01,   -0.070
1980-12-01,   -0.120
1981-01-01,   -0.360
1981-02-01,   -0.230
1981-03-01,    0.330
1981-04-01,    0.430
1981-05-01,   -0.240
1981-06-01,   -0.700
1981-07-01,   -0.610
1981-08-01,   -0.340
1981-09-01,   -0.070
1981-10-01,   -0.160
1981-11-01,   -0.270
1981-12-01,   -0.190
1982-01-01,   -0.430
1982-02-01,   -0.490
1982-03-01,   -0.270
1982-04-01,   -0.360
1982-05-01,   -0.120
1982-06-01,    0.620
1982-07-01,    1.650
1982-08-01,    1.910
1982-09-01,    1.690
1982-10-01,    1.780
1982-11-01,    2.140
1982-12-01,    2.370
1983-01-01,    2.480
1983-02-01,    2.680
1983-03-01,    2.610
1983-04-01,    2.760
1983-05-01,    2.860
1983-06-01,    1.980
1983-07-01,    0.630
1983-08-01,   -0.170
1983-09-01,   -0.490
1983-10-01,   -0.530
1983-11-01,   -0.470
1983-12-01,   -0.500
1984-01-01,   -0.540
1984-02-01,   -0.560
1984-03-01,   -0.160
1984-04-01,    0.070
1984-05-01,   -0.450
1984-06-01,   -0.660
1984-07-01,   -0.340
1984-08-01,   -0.200
1984-09-01,   -0.140
1984-10-01,   -0.190
1984-11-01,   -0.580
1984-12-01,   -0.280
1985-01-01,   -0.250
1985-02-01,   -0.580
1985-03-01,   -0.600
1985-04-01,   -0.760
1985-05-01,   -1.230
1985-06-01,   -0.670
1985-07-01,   -0.100
1985-08-01,   -0.490
1985-09-01,   -0.560
1985-10-01,   -0.080
1985-11-01,   -0.060
1985-12-01,   -0.420
1986-01-01,   -0.400
1986-02-01,   -0.340
1986-03-01,   -0.400
1986-04-01,   -0.530
1986-05-01,   -0.260
1986-06-01,    0.010
1986-07-01,    0.410
1986-08-01,    0.970
1986-09-01,    1.290
1986-10-01,    0.560
1986-11-01,    0.640
1986-12-01,    1.060
1987-01-01,    1.030
1987-02-01,    1.160
1987-03-01,    1.570
1987-04-01,    1.740
1987-05-01,    1.960
1987-06-01,    2.070
1987-07-01,    1.880
1987-08-01,    1.460
1987-09-01,    1.260
1987-10-01,    1.180
1987-11-01,    0.900
1987-12-01,    0.790
1988-01-01,    0.630
1988-02-01,    0.330
1988-03-01,    0.170
1988-04-01,   -0.010
1988-05-01,   -0.390
1988-06-01,   -1.170
1988-07-01,   -1.780
1988-08-01,   -1.810
1988-09-01,   -1.800
1988-10-01,   -1.590
1988-11-01,   -1.700
1988-12-01,   -1.550
1989-01-01,   -1.120
1989-02-01,   -1.100
1989-03-01,   -1.240
1989-04-01,   -1.090
1989-05-01,   -1.030
1989-06-01,   -0.990
1989-07-01,   -1.080
1989-08-01,   -0.660
1989-09-01,   -0.530
1989-10-01,   -0.490
1989-11-01,   -0.360
1989-12-01,   -0.070
1990-01-01,    0.130
1990-02-01,    0.450
1990-03-01,    0.610
1990-04-01,    0.170
1990-05-01,    0.080
1990-06-01,    0.050
1990-07-01,    0.130
1990-08-01,    0.020
1990-09-01,    0.220
1990-10-01,   -0.070
1990-11-01,    0.120
1990-12-01,    0.310
1991-01-01,    0.190
1991-02-01,    0.080
1991-03-01,    0.200
1991-04-01,    0.200
1991-05-01,    0.350
1991-06-01,    0.970
1991-07-01,    0.910
1991-08-01,    0.370
1991-09-01,    0.540
1991-10-01,    0.970
1991-11-01,    1.040
1991-12-01,    1.230
1992-01-01,    1.680
1992-02-01,    1.580
1992-03-01,    1.710
1992-04-01,    1.970
1992-05-01,    1.680
1992-06-01,    1.510
1992-07-01,    0.620
1992-08-01,   -0.020
1992-09-01,    0.400
1992-10-01,    0.670
1992-11-01,    0.620
1992-12-01,    0.730
1993-01-01,    0.790
1993-02-01,    0.890
1993-03-01,    0.770
1993-04-01,    0.980
1993-05-01,    1.470
1993-06-01,    1.510
1993-07-01,    0.900
1993-08-01,    0.600
1993-09-01,    0.610
1993-10-01,    0.960
1993-11-01,    0.700
1993-12-01,    0.270
1994-01-01,   -0.010
1994-02-01,   -0.210
1994-03-01,   -0.230
1994-04-01,    0.010
1994-05-01,   -0.030
1994-06-01,    0.250
1994-07-01,    0.960
1994-08-01,    0.870
1994-09-01,    1.100
1994-10-01,    1.520
1994-11-01,    1.010
1994-12-01,    0.910
1995-01-01,    0.820
1995-02-01,    0.540
1995-03-01,    0.170
1995-04-01,    0.130
1995-05-01,    0.140
1995-06-01,    0.010
1995-07-01,   -0.290
1995-08-01,   -0.700
1995-09-01,   -0.940
1995-10-01,   -0.740
1995-11-01,   -0.770
1995-12-01,   -0.900
1996-01-01,   -0.850
1996-02-01,   -0.800
1996-03-01,   -0.660
1996-04-01,   -0.760
1996-05-01,   -0.850
1996-06-01,   -0.910
1996-07-01,   -0.830
1996-08-01,   -0.640
1996-09-01,   -0.310
1996-10-01,   -0.370
1996-11-01,   -0.340
1996-12-01,   -0.470
1997-01-01,   -0.650
1997-02-01,   -0.720
1997-03-01,   -0.300
1997-04-01,    0.150
1997-05-01,    0.710
1997-06-01,    2.340
1997-07-01,    2.260
1997-08-01,    2.260
1997-09-01,    2.200
1997-10-01,    2.060
1997-11-01,    2.140
1997-12-01,    2.110
1998-01-01,    2.300
1998-02-01,    2.450
1998-03-01,    2.270
1998-04-01,    2.610
1998-05-01,    2.330
1998-06-01,    0.420
1998-07-01,   -1.530
1998-08-01,   -1.820
1998-09-01,   -1.400
1998-10-01,   -1.290
1998-11-01,   -1.340
1998-12-01,   -1.290
1999-01-01,   -1.280
1999-02-01,   -1.200
1999-03-01,   -1.150
1999-04-01,   -1.160
1999-05-01,   -1.330
1999-06-01,   -1.260
1999-07-01,   -1.180
1999-08-01,   -1.030
1999-09-01,   -1.160
1999-10-01,   -1.330
1999-11-01,   -1.330
1999-12-01,   -1.430
2000-01-01,   -1.250
2000-02-01,   -1.260
2000-03-01,   -1.370
2000-04-01,   -0.900
2000-05-01,   -0.930
2000-06-01,   -1.180
2000-07-01,   -0.610
2000-08-01,   -0.080
2000-09-01,   -0.350
2000-10-01,   -0.520
2000-11-01,   -0.860
2000-12-01,   -0.790
2001-01-01,   -0.830
2001-02-01,   -0.860
2001-03-01,   -0.780
2001-04-01,   -0.550
2001-05-01,   -0.510
2001-06-01,   -0.730
